matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
8,2,1,10,2,8,2000,0.8002,0.3363,1.9,19985,3114270.72,1998.57,311767.04
8,2,1,10,2,16,1000,0.7906,0.4179,2.3,9990,1562378.24,998.96,155842.56
8,2,1,10,2,8,1000,0.8025,0.37260000000000004,1.9,9996,1562378.24,999.55,155924.48
8,2,1,10,2,16,2000,0.8052,0.44880000000000003,2.1,19973,3114270.72,1997.07,311531.52
8,2,1,10,4,8,1000,0.7565,0.30310000000000004,1.5,10004,1562378.24,1000.32,156047.36
8,2,1,10,4,8,2000,0.7266,0.2993,1.5,20000,3124756.48,1999.73,311951.36
8,2,1,10,4,16,1000,0.7807999999999999,0.3738,2.2,10003,1562378.24,1000.17,156026.88
8,2,1,10,4,16,2000,0.8172,0.3476,2.0,19994,3114270.72,1999.16,311859.2
8,2,1,15,2,8,2000,0.8395,0.3532,1.7,29988,4676648.96,1999.2,311869.44
8,2,1,15,2,8,1000,0.8,0.38489999999999996,1.8,14997,2338324.48,999.7,155955.2
8,2,1,15,2,16,1000,0.725,0.4158,2.0,14992,2338324.48,999.32,155893.76
8,2,1,15,2,16,2000,0.8308,0.448,2.1,29970,4676648.96,1998.03,311685.12
8,2,1,15,4,8,2000,0.6731,0.3039,1.6,30000,4676648.96,1999.84,311971.84
8,2,1,15,4,8,1000,0.7494,0.3083,1.6,15004,2338324.48,1000.15,156016.64
8,2,1,15,4,16,1000,0.8246,0.3891,1.9,15004,2338324.48,1000.06,156006.4
8,2,1,15,4,16,2000,0.8164,0.36889999999999995,1.8,29991,4676648.96,1999.35,311889.92
8,2,2,10,2,8,1000,0.8212,0.362,1.9,9996,1667235.84,999.58,166922.24
8,2,2,10,2,8,2000,0.7798999999999999,0.3465,2.1,19988,3334471.68,1998.76,333783.04
8,2,2,10,2,16,1000,0.727,0.3905,2.2,9990,1667235.84,998.97,166830.08
