matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
64,64,10,10,1,100,1000,3400.0,2300.0,9500.0,1165,241152.0,116.48,24115.2
64,64,10,10,1,200,1000,4000.0,2300.0,7900.0,1045,216320.0,104.44,21616.64
64,64,10,10,1,300,1000,2000.0,2100.0,9500.0,939,194375.68,93.84,19425.28
64,64,10,10,1,400,1000,997.3,1400.0,8600.0,1011,209274.88,101.09,20920.32
64,64,10,10,1,500,1000,877.4,1400.0,8700.0,959,198512.64,95.89,19845.12
64,64,10,10,1,600,1000,676.5,1100.0,8500.0,993,205547.52,99.29,20551.68
64,64,10,10,1,700,1000,631.8,1000.0,8500.0,999,206796.8,99.88,20674.56
64,64,10,10,1,800,1000,692.4,1000.0,8900.0,987,204308.48,98.67,20428.8
64,64,10,10,1,900,1000,803.2,1100.0,8100.0,936,193751.04,93.53,19363.84
64,64,10,10,1,1000,1000,665.6,794.5,7900.0,1004,207831.04,100.38,20776.96
64,64,10,10,1,1100,1000,717.1,847.6,8700.0,998,206581.76,99.76,20654.08
64,64,10,10,1,1200,1000,818.7,1200.0,7800.0,891,184432.64,89.06,18432.0
64,64,10,10,1,1300,1000,776.2,830.7,8300.0,993,205547.52,99.26,20551.68
64,64,10,10,1,1400,1000,792.8,817.4,7900.0,988,204513.28,98.7,20428.8
64,64,10,10,1,1500,1000,789.5,1000.0,7500.0,913,188989.44,91.24,18882.56
64,64,10,10,1,1600,1000,1500.0,697.9,7600.0,1007,208445.44,100.65,20838.4
64,64,10,10,1,1700,1000,755.3,1100.0,6300.0,779,161249.28,77.88,16117.76
64,64,10,10,1,1800,1000,924.7,681.4,8000.0,1010,209070.08,100.95,20899.84
64,64,10,10,1,1900,1000,838.2,664.5,7700.0,995,205967.36,99.47,20592.64
64,64,10,10,1,2000,1000,842.1,968.7,7200.0,937,193955.84,93.62,19384.32
64,64,10,10,1,2100,1000,831.0,916.5,7000.0,960,198717.44,95.94,19855.36
64,64,10,10,1,2200,1000,862.8,907.2,7300.0,959,198512.64,95.89,19845.12
64,64,10,10,1,2300,1000,845.7,791.9,7100.0,955,197683.2,95.48,19763.2
64,64,10,10,1,2400,1000,1100.0,751.2,7000.0,1015,210104.32,101.44,21002.24
64,64,10,10,1,2500,1000,863.6,1200.0,6900.0,826,170977.28,82.49,17070.08
64,64,10,10,1,2600,1000,1100.0,805.3,7600.0,1006,208240.64,100.58,20817.92
64,64,10,10,1,2700,1000,793.0,1100.0,6100.0,858,177602.56,85.74,17745.92
64,64,10,10,1,2800,1000,1300.0,918.1,8100.0,1004,207831.04,100.32,20766.72
64,64,10,10,1,2900,1000,782.5,981.0,5100.0,762,157736.96,76.19,15769.6
