matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
8,8,1,10,1,10,2000,0.8,0.4527,6.2,19956,3114270.72,1995.57,311306.24
8,8,1,10,1,10,1000,0.9,0.4727,5.7,9981,1551892.48,998.0,155688.96
8,8,1,10,1,100,1000,1.5,1.2,7.9,9002,1405091.84,900.2,140431.36
8,8,1,10,1,100,2000,0.9,0.5265,8.2,19551,3051356.16,1954.94,304967.68
8,8,1,10,1,1000,2000,2.5,2.7,20.1,5985,933232.64,598.22,93327.36
8,8,1,10,2,10,1000,0.9,0.411,5.7,9994,1562378.24,999.21,155873.28
8,8,1,10,2,10,2000,0.8228,0.4093,4.8,19982,3114270.72,1998.18,311705.6
8,8,1,10,1,1000,1000,4.1,5.3,21.2,1506,234936.32,143.44,22374.4
8,8,1,10,2,100,2000,1.2,1.0,9.2,6013,933232.64,601.19,93788.16
8,8,1,10,2,100,1000,0.0,0.0,0.0,531,82831.36,51.79,8079.36
8,8,1,10,2,1000,1000,8.5,10.6,37.3,1254,195624.96,120.4,18780.16
8,8,1,10,2,1000,2000,3.0,4.1,42.8,7490,1163919.36,748.39,116746.24
8,8,1,10,4,10,1000,0.7422000000000001,0.5097,9.5,10001,1562378.24,1000.08,156006.4
8,8,1,10,4,10,2000,0.729,0.4313,9.7,19992,3114270.72,1999.07,311848.96
8,8,1,10,4,100,1000,0.7716000000000001,0.4746,10.1,9739,1520435.2,973.68,151889.92
8,8,1,10,4,100,2000,0.7172999999999999,0.4215,3.2,19924,3103784.96,1992.14,310773.76
8,8,1,10,4,1000,1000,7.3,8.9,37.0,1156,180336.64,112.99,17623.04
8,8,1,10,4,1000,2000,6.9,7.4,55.9,8051,1258291.2,804.75,125542.4
8,8,1,20,1,10,1000,0.9,0.4396,2.4,19981,3114270.72,998.98,155842.56
8,8,1,20,1,10,2000,0.8312999999999999,0.3975,2.8,39957,6228541.44,1997.71,311633.92
8,8,1,20,1,100,1000,0.7407999999999999,0.3152,2.6,15861,2474639.36,792.2,123586.56
8,8,1,20,1,100,2000,0.8,0.4167,3.1,39551,6165626.88,1977.42,308480.0
8,8,1,20,1,1000,1000,2.6,0.6633,8.4,2440,380641.28,122.0,19036.16
8,8,1,20,1,1000,2000,2.7,1.3,9.9,8502,1321205.76,425.01,66304.0
8,8,1,20,2,10,1000,0.8364,0.3766,2.2,19994,3114270.72,999.62,155934.72
8,8,1,20,2,10,2000,0.7292000000000001,0.3369,1.8,39983,6239027.2,1999.02,311838.72
8,8,1,20,2,100,1000,0.8,0.3969,1.9,10762,1677721.6,531.44,82903.04
8,8,1,20,2,100,2000,0.819,0.3892,2.1,21330,3323985.92,1053.34,164321.28
8,8,1,20,2,1000,1000,1.7,0.6631,12.7,4139,645683.2,206.61,32235.52
8,8,1,20,2,1000,2000,1.6,0.624,14.2,10079,1572864.0,503.26,78510.08
8,8,1,20,4,10,1000,0.7326,0.3128,1.6,20002,3124756.48,1000.09,156006.4
8,8,1,20,4,10,2000,0.6698,0.3066,1.4,39999,6239027.2,1999.73,311951.36
8,8,1,20,4,100,1000,0.7935,0.4079,1.9,11404,1782579.2,566.45,88371.2
8,8,1,20,4,100,2000,0.8221,0.3956,2.9,22308,3481272.32,1107.77,172810.24
8,8,2,10,1,10,1000,1.7,1.4,12.2,9976,1667235.84,997.14,166522.88
8,8,2,10,1,10,2000,1.7,1.4,11.8,19950,3334471.68,1994.92,333148.16
8,8,1,20,4,1000,2000,3.4,2.3,15.0,13994,2181038.08,698.58,108974.08
8,8,1,20,4,1000,1000,2.4,1.2,8.6,2814,438988.8,139.41,21749.76
8,8,2,10,1,100,1000,0.8467,0.3742,4.8,6356,1059061.76,635.66,106158.08
8,8,2,10,1,100,2000,1.9,0.8302,5.4,18002,3009413.12,1799.91,300584.96
8,8,2,10,1,1000,1000,3.5,3.8,18.1,1480,247162.88,147.97,24709.12
8,8,2,10,1,1000,2000,2.8,2.6,17.7,4013,670167.04,401.28,67010.56
8,8,2,10,2,10,1000,0.8029,0.3596999999999999,2.0,9994,1667235.84,999.25,166871.04
8,8,2,10,2,10,2000,0.7196,0.3451,1.8,19982,3334471.68,1997.94,333649.92
8,8,2,10,2,100,1000,0.751,0.4048,2.1,9922,1656750.08,992.03,165672.96
8,8,2,10,2,100,2000,0.7633,0.4236,2.1,19802,3303014.4,1980.0,330659.84
8,8,2,10,2,1000,2000,2.6,3.4,25.7,4672,780226.56,466.01,77824.0
8,8,2,10,2,1000,1000,2.8,4.0,19.6,2185,364892.16,217.75,36362.24
8,8,2,10,4,10,1000,1.0,0.7479,21.7,10004,1667235.84,1000.35,167055.36
