matsize,patterns_size,nb_patterns,duration,threads,connections,throughput,latency_avg,latency_stdev,latency_max,requests,data_read,requests_per_sec,transfer_per_sec
8,16,8,10,1,4200,1000,37.2,60.5,289.0,917,200826.88,71.01,15554.56
8,8,16,10,1,4200,1000,40.8,67.0,308.2,897,276275.2,69.22,21319.68
8,8,8,10,1,4200,1000,41.5,68.5,314.6,894,202936.32,68.89,15636.48
8,8,32,10,1,4200,1000,22.0,29.1,197.2,817,382351.36,63.11,29532.16
8,32,16,10,1,4200,1000,38.8,56.0,246.1,910,265717.76,70.36,20541.44
8,16,32,10,1,4200,1000,36.4,50.8,235.7,902,393267.2,69.62,30351.36
8,32,8,10,1,4200,1000,39.0,57.0,245.5,918,201041.92,71.09,15564.8
8,16,16,10,1,4200,1000,36.4,50.9,237.3,891,260167.68,68.67,20049.92
8,64,16,10,1,4200,1000,200.2,38.7,288.5,370,125798.4,27.39,9308.16
8,64,32,10,1,4200,1000,197.8,34.9,283.9,481,255887.36,20.89,11110.4
8,32,32,10,1,4200,1000,192.9,40.6,286.4,473,206223.36,20.54,8949.76
8,64,8,10,1,4200,1000,193.5,41.4,302.0,515,125143.04,22.36,5437.44
16,8,16,10,1,4200,1000,79.2,131.3,546.3,939,274186.24,73.56,21483.52
16,8,32,10,1,4200,1000,71.7,113.3,452.8,951,414638.08,74.59,32522.24
16,16,8,10,1,4200,1000,89.9,151.6,607.2,964,195696.64,75.74,15370.24
16,8,8,10,1,4200,1000,76.8,141.9,576.0,1496,327628.8,64.97,14223.36
16,32,8,10,1,4200,1000,94.9,122.6,387.5,872,183992.32,65.63,13844.48
16,16,16,10,1,4200,1000,74.3,90.3,324.6,856,222556.16,64.34,16732.16
16,16,32,10,1,4200,1000,107.4,143.5,431.3,882,328099.84,66.45,24719.36
16,32,16,10,1,4200,1000,78.7,124.9,443.9,1212,334510.08,101.72,28078.08
16,64,8,10,1,4200,1000,249.0,191.9,935.4,574,125706.24,45.48,9963.52
16,64,16,10,1,4200,1000,288.3,227.5,933.8,591,172574.72,46.93,13701.12
16,64,32,10,1,4200,1000,332.6,241.2,937.4,541,235878.4,42.92,18708.48
16,32,32,10,1,4200,1000,311.4,237.5,934.4,612,247244.8,48.39,19548.16
16,128,32,10,1,4200,1000,314.8,244.0,969.2,633,255733.76,50.1,20244.48
16,128,8,10,1,4200,1000,231.5,180.6,969.7,554,116889.6,43.68,9216.0
