make_cmd,matsize,pattern_size,nb_patterns,transfers_per_sec,cache-misses,cache-references,time elapsed
DUNROLL,64,4,1,7831.97,165534733,1983709072,"30,040343598"
DUNROLL,512,4,1,19.61,159757860,2931275353,"30,040122376"
DUNROLL,64,32,16,891.58,27183860,256938013,"30,040283045"
DUNROLL,64,128,16,269.21,10238506,115673266,"30,040466495"
DUNROLL,64,32,8,1741.47,38385370,423157424,"30,040199143"
DUNROLL,64,32,128,129.5,7235663,81082584,"30,040269612"
DCACHE_AWARE,64,4,1,8794.9,160719557,2166643329,"30,040231344"
DCACHE_AWARE,512,4,1,20.22,115508041,2997117560,"30,040438385"
DCACHE_AWARE,64,32,16,800.44,28379442,300773828,"30,040321474"
DCACHE_AWARE,64,128,16,213.86,16077796,108945068,"30,040432134"
DCACHE_AWARE,64,32,8,1494.43,44238313,406209354,"30,040413253"
DCACHE_AWARE,64,32,128,111.41,11602668,80181631,"30,040307990"
DBEST,64,4,1,8383.35,164539019,2156631002,"30,040239282"
DBEST,512,4,1,19.87,141589056,2958494527,"30,020303273"
DBEST,64,32,16,910.72,29991635,331410538,"30,022859098"
DBEST,64,128,16,256.18,17085826,122197597,"30,040268997"
DBEST,64,32,8,1713.25,45612926,469595350,"30,040279326"
DBEST,64,32,128,126.21,13584954,88793239,"30,040493031"
DCACHE_AWARE -DUNROLL,64,4,1,8450.38,199143021,2253466389,"30,040322604"
DCACHE_AWARE -DUNROLL,512,4,1,20.15,113793536,2902602271,"30,040502071"
DCACHE_AWARE -DUNROLL,64,32,16,879.31,23402749,310863430,"30,040209433"
DCACHE_AWARE -DUNROLL,64,128,16,255.98,10588427,113770744,"30,040120851"
DCACHE_AWARE -DUNROLL,64,32,8,1741.93,38298158,440631531,"30,040261639"
DCACHE_AWARE -DUNROLL,64,32,128,128.07,8598313,95038506,"30,040438491"
