matsize,pattern_size,nb_patterns,transfers_per_sec,flag
128,64,2,25.2,''
128,64,2,24.38,DSIMDBEST'
128,64,2,50.18,DBEST'
128,64,2,36.97,DCACHE_AWARE
128,64,2,24.58,''
128,64,2,24.58,DSIMDBEST'
128,64,2,49.28,DBEST'
128,64,2,34.58,DCACHE_AWARE
128,64,2,24.98,''
128,64,2,22.68,DSIMDBEST'
128,64,2,41.77,DBEST'
128,64,2,36.01,DCACHE_AWARE
128,64,2,24.78,''
128,64,2,24.79,DSIMDBEST'
128,64,2,49.4,DBEST'
128,64,2,36.27,DCACHE_AWARE
128,64,2,24.69,''
128,64,2,24.38,DSIMDBEST'
128,64,2,49.62,DBEST'
128,64,2,36.29,DCACHE_AWARE
