make_cmd,matsize,pattern_size,nb_patterns,transfers_per_sec,cache-misses,cache-references,time elapsed
DUNROLL,64,4,1,8136.08,156596499,2012105815,"30,040098738"
DUNROLL,512,4,1,19.4,138780821,3378229216,"30,040461081"
DUNROLL,64,32,16,932.17,21750942,327682038,"30,040319684"
DUNROLL,64,128,16,271.66,8587115,144841898,"30,040304945"
DUNROLL,64,32,8,1703.51,48651743,445259333,"30,040326320"
DUNROLL,64,32,128,127.08,12905469,89248335,"30,040309542"
DCACHE_AWARE,64,4,1,8859.39,172415556,2331610337,"30,040265458"
DCACHE_AWARE,512,4,1,20.19,114504592,2112023905,"30,040343872"
DCACHE_AWARE,64,32,16,828.67,19055293,222523491,"30,040368643"
DCACHE_AWARE,64,128,16,220.1,7455196,96364888,"30,040422934"
DCACHE_AWARE,64,32,8,1531.51,32516349,378361274,"30,040489059"
DCACHE_AWARE,64,32,128,111.03,12150084,86632951,"30,040437606"
DBEST,64,4,1,8600.88,186345518,2224198133,"30,040282740"
DBEST,512,4,1,19.6,146564575,2081711066,"30,040504757"
DBEST,64,32,16,918.76,29156102,267066900,"30,040217406"
DBEST,64,128,16,265.86,15387758,123656765,"30,040252058"
DBEST,64,32,8,1707.81,52429177,448513466,"30,040342444"
DBEST,64,32,128,127.2,13570212,86946350,"30,040044577"
DCACHE_AWARE -DUNROLL,64,4,1,8691.14,182712131,2186697302,"30,040294174"
DCACHE_AWARE -DUNROLL,512,4,1,19.27,132237605,2600376230,"30,040196747"
DCACHE_AWARE -DUNROLL,64,32,16,890.14,32715572,268450742,"30,040243422"
DCACHE_AWARE -DUNROLL,64,128,16,262.87,16143322,135261571,"30,040162812"
DCACHE_AWARE -DUNROLL,64,32,8,1694.9,52114770,449508282,"30,040331984"
DCACHE_AWARE -DUNROLL,64,32,128,127.56,12153909,96645442,"30,040191751"
