worker_count,matsize,pattern_size,nb_patterns,transfers_per_sec,cache-misses,cache-references
1,512,8,1,41.7,"186,784,333","974,106,788"
2,512,8,1,41.61,"220,119,265","1,135,966,754"
3,512,8,1,42.15,"265,439,711","1,210,056,562"
4,512,8,1,42.28,"318,989,122","1,228,766,041"
5,512,8,1,41.62,"371,514,796","1,217,581,038"
6,512,8,1,41.6,"394,445,708","1,232,631,351"
7,512,8,1,40.43,"430,598,175","1,220,955,023"
8,512,8,1,39.97,"453,882,652","1,199,249,117"
9,512,8,1,40.84,"459,421,055","1,249,096,983"
10,512,8,1,41.9,"462,558,906","1,258,519,257"
